TC2 layout act_box (9.0, 34.0) body_short (5.0, 30.0)
TC2 CHECK bodies 90 | THREE-WAY candidates 0 | overlapping bodies of different kind 189 | phantom round bodies 534 | uncovered apex-to-apex triangle pairs 15
  phantom (31, 'BALL', [271, 384, 427, 388], 3.2, [76.1, 79.4])
  phantom (31, 'BUTTERFLY', [321, 371, 635, 375], 4.0, [192.4, 122.1])
  phantom (31, 'BUTTERFLY', [511, 291, 515, 428], 4.0, [68.5, 68.4])
  phantom (31, 'BALL', [271, 457, 427, 460], 3.2, [76.1, 79.4])
  phantom (31, 'BUTTERFLY', [321, 443, 660, 447], 4.0, [192.4, 147.1])
  phantom (31, 'BUTTERFLY', [511, 364, 515, 501], 4.0, [68.4, 68.5])
  phantom (31, 'BUTTERFLY', [550, 432, 762, 435], 3.5, [110.0, 101.3])
  phantom (31, 'BALL', [271, 529, 427, 533], 3.2, [76.1, 79.4])
  phantom (31, 'BUTTERFLY', [321, 516, 685, 520], 4.0, [192.4, 171.9])
  phantom (31, 'BALL', [847, 303, 849, 408], 2.0, [50.9, 54.0])
  phantom (31, 'BUTTERFLY', [848, 309, 852, 435], 3.5, [62.4, 63.6])
  phantom (31, 'BUTTERFLY', [848, 281, 852, 408], 3.5, [63.7, 62.8])
  phantom (31, 'BALL', [847, 375, 849, 480], 2.0, [50.8, 54.1])
  phantom (31, 'BUTTERFLY', [848, 381, 852, 507], 3.5, [62.3, 63.7])
  phantom (31, 'BUTTERFLY', [848, 354, 852, 480], 3.5, [63.7, 62.8])
  phantom (32, 'BALL', [332, 569, 524, 571], 2.0, [104.1, 88.1])
  phantom (32, 'BUTTERFLY', [356, 260, 502, 263], 3.5, [71.9, 74.7])
  phantom (32, 'BALL', [332, 571, 524, 574], 3.5, [125.9, 66.3])
  phantom (32, 'BUTTERFLY', [503, 278, 652, 282], 3.5, [89.9, 58.8])
  phantom (32, 'BUTTERFLY', [409, 278, 578, 282], 3.5, [79.3, 90.1])
  phantom (32, 'BUTTERFLY', [525, 367, 764, 370], 3.5, [70.2, 168.7])
  phantom (32, 'BUTTERFLY', [735, 229, 883, 233], 3.5, [60.1, 87.7])
  phantom (32, 'BUTTERFLY', [716, 266, 883, 269], 3.5, [79.2, 87.7])
  phantom (33, 'BUTTERFLY', [595, 332, 599, 490], 4.2, [83.7, 73.8])
  phantom (33, 'BUTTERFLY', [652, 231, 657, 490], 4.2, [184.5, 73.8])
  phantom (33, 'BUTTERFLY', [659, 414, 815, 418], 4.2, [75.8, 80.4])
  phantom (33, 'BUTTERFLY', [601, 414, 757, 418], 4.2, [80.2, 76.0])
  phantom (33, 'BUTTERFLY', [817, 226, 821, 490], 4.2, [190.3, 73.8])
  phantom (33, 'BUTTERFLY', [568, 220, 809, 224], 4.0, [157.9, 82.5])
  phantom (34, 'BUTTERFLY', [595, 332, 599, 490], 4.2, [83.7, 73.8])
  phantom (34, 'BUTTERFLY', [652, 231, 657, 490], 4.2, [184.5, 73.8])
  phantom (34, 'BUTTERFLY', [659, 414, 815, 418], 4.2, [75.8, 80.4])
  phantom (34, 'BUTTERFLY', [601, 414, 757, 418], 4.2, [80.2, 76.0])
  phantom (34, 'BUTTERFLY', [633, 492, 636, 718], 4.0, [123.4, 103.6])
  phantom (35, 'BUTTERFLY', [218, 287, 323, 289], 2.0, [55.2, 49.3])
  phantom (35, 'BUTTERFLY', [438, 287, 542, 289], 2.0, [55.2, 49.3])
  phantom (35, 'BUTTERFLY', [218, 543, 323, 545], 2.0, [55.2, 49.3])
  phantom (35, 'BUTTERFLY', [438, 543, 542, 545], 2.0, [55.2, 49.3])
  phantom (36, 'BUTTERFLY', [341, 295, 526, 299], 3.2, [125.0, 59.6])
  phantom (36, 'BUTTERFLY', [341, 295, 594, 299], 3.2, [165.2, 87.6])
  phantom (36, 'BUTTERFLY', [528, 289, 674, 292], 3.2, [66.7, 80.3])
  phantom (36, 'BUTTERFLY', [468, 295, 594, 299], 3.2, [59.6, 66.7])
  phantom (36, 'BUTTERFLY', [333, 389, 526, 392], 3.2, [133.3, 59.6])
  phantom (36, 'BUTTERFLY', [505, 307, 508, 481], 3.2, [83.7, 89.9])
  phantom (36, 'BUTTERFLY', [468, 389, 608, 392], 3.2, [59.6, 80.2])
  phantom (36, 'BUTTERFLY', [486, 344, 490, 468], 3.2, [69.8, 54.5])
  phantom (36, 'BUTTERFLY', [482, 304, 737, 310], 5.3, [87.6, 167.1])
  phantom (36, 'BUTTERFLY', [482, 398, 737, 403], 5.3, [87.6, 167.1])
  phantom (36, 'BUTTERFLY', [578, 269, 672, 271], 2.0, [60.8, 33.5])
  phantom (36, 'BUTTERFLY', [638, 269, 706, 271], 2.0, [33.6, 33.5])
  phantom (36, 'BUTTERFLY', [341, 483, 526, 486], 3.2, [125.0, 59.6])
  phantom (36, 'BUTTERFLY', [341, 483, 608, 486], 3.2, [165.2, 101.1])
  phantom (36, 'BUTTERFLY', [468, 483, 608, 486], 3.2, [59.6, 80.2])
  phantom (36, 'BUTTERFLY', [482, 492, 737, 497], 5.3, [87.6, 167.1])
  phantom (36, 'BUTTERFLY', [135, 336, 142, 688], 7.1, [233.4, 117.8])
  phantom (36, 'BUTTERFLY', [641, 297, 748, 299], 2.0, [47.4, 60.1])
  phantom (36, 'BUTTERFLY', [608, 391, 748, 393], 2.0, [80.6, 60.1])
